6.40000000000000013323e-01,3.30000000000000015543e-01,2.99999999999999988898e-01,5.99999999999999977796e-01,1.49999999999999994449e-01,5.99999999999999977796e-02,3.12699999999999977973e-01,3.29000000000000014655e-01,
6.40000000000000013323e-01,3.30000000000000015543e-01,2.09999999999999992228e-01,7.09999999999999964473e-01,1.49999999999999994449e-01,5.99999999999999977796e-02,3.12699999999999977973e-01,3.29000000000000014655e-01,
7.34700000000000019718e-01,2.65299999999999980282e-01,1.59599999999999991873e-01,8.40400000000000035882e-01,3.66000000000000005884e-02,1.00000000000000004792e-04,3.45700000000000007283e-01,3.58499999999999985345e-01,
6.80000000000000048850e-01,3.20000000000000006661e-01,2.65000000000000013323e-01,6.89999999999999946709e-01,1.49999999999999994449e-01,5.99999999999999977796e-02,3.14000000000000001332e-01,3.50999999999999978684e-01,
6.80000000000000048850e-01,3.20000000000000006661e-01,2.65000000000000013323e-01,6.89999999999999946709e-01,1.49999999999999994449e-01,5.99999999999999977796e-02,3.12699999999999977973e-01,3.29000000000000014655e-01,
7.07999999999999962697e-01,2.91999999999999981792e-01,1.70000000000000012212e-01,7.97000000000000041744e-01,1.31000000000000005329e-01,4.59999999999999992228e-02,3.12699999999999977973e-01,3.29000000000000014655e-01,
7.34700000000000019718e-01,2.65299999999999980282e-01,0.00000000000000000000e+00,1.00000000000000000000e+00,1.00000000000000004792e-04,-7.69999999999999990008e-02,3.21680000000000021476e-01,3.37670000000000025686e-01,
7.12999999999999967137e-01,2.92999999999999982681e-01,1.65000000000000007772e-01,8.29999999999999960032e-01,1.28000000000000002665e-01,4.39999999999999974465e-02,3.21680000000000021476e-01,3.37670000000000025686e-01,
7.12999999999999967137e-01,2.92999999999999982681e-01,1.65000000000000007772e-01,8.29999999999999960032e-01,1.28000000000000002665e-01,4.39999999999999974465e-02,3.21680000000000021476e-01,3.37670000000000025686e-01,
6.25000000000000000000e-01,3.40000000000000024425e-01,2.80000000000000026645e-01,5.94999999999999973355e-01,1.54999999999999998890e-01,7.00000000000000066613e-02,3.12699999999999977973e-01,3.29000000000000014655e-01,
7.35191637630661976033e-01,2.64808362369338023967e-01,2.15336134453780997378e-01,7.74159663865546021633e-01,1.30122950819672011935e-01,3.48360655737700031231e-02,3.45700000000000007283e-01,3.58499999999999985345e-01,
6.88799999999999967848e-01,3.11199999999999976641e-01,1.98599999999999998757e-01,7.55099999999999993427e-01,1.26500000000000001332e-01,3.52000000000000021205e-02,3.45700000000000007283e-01,3.58499999999999985345e-01,
6.40000000000000013323e-01,3.30000000000000015543e-01,2.80000000000000026645e-01,6.50000000000000022204e-01,1.49999999999999994449e-01,5.99999999999999977796e-02,3.12699999999999977973e-01,3.29000000000000014655e-01,
7.34742840005997988051e-01,2.65257159994002011949e-01,2.73779033824957995780e-01,7.17477700256116013300e-01,1.66555629580280001312e-01,8.91072618254500070645e-03,3.33333333333333314830e-01,3.33333333333333314830e-01,
6.30000000000000004441e-01,3.40000000000000024425e-01,2.94999999999999984457e-01,6.04999999999999982236e-01,1.49999999999999994449e-01,7.49999999999999972244e-02,3.45700000000000007283e-01,3.58499999999999985345e-01,
6.96120689655172042443e-01,2.99568965517240992646e-01,2.14682981090100005739e-01,7.65294771968853981825e-01,1.29937629937630000354e-01,3.53430353430349980526e-02,3.45700000000000007283e-01,3.58499999999999985345e-01,
6.70103092783504994401e-01,3.29896907216495005599e-01,2.09905660377357999868e-01,7.09905660377358027624e-01,1.40061791967043991480e-01,8.03295571575699945965e-02,3.45700000000000007283e-01,3.58499999999999985345e-01,
6.94736842105262986102e-01,3.05263157894737013898e-01,2.60000000000000008882e-01,6.99999999999999955591e-01,1.09728506787329996297e-01,4.52488687782800005910e-03,3.45700000000000007283e-01,3.58499999999999985345e-01,
6.70000000000000039968e-01,3.30000000000000015543e-01,2.09999999999999992228e-01,7.09999999999999964473e-01,1.40000000000000013323e-01,8.00000000000000016653e-02,3.10060000000000002274e-01,3.16159999999999996589e-01,
6.40000000000000013323e-01,3.30000000000000015543e-01,2.89999999999999980016e-01,5.99999999999999977796e-01,1.49999999999999994449e-01,5.99999999999999977796e-02,3.12699999999999977973e-01,3.29000000000000014655e-01,
6.30000000000000004441e-01,3.40000000000000024425e-01,3.09999999999999997780e-01,5.94999999999999973355e-01,1.54999999999999998890e-01,7.00000000000000066613e-02,3.12699999999999977973e-01,3.29000000000000014655e-01,
7.34700000000000019718e-01,2.65299999999999980282e-01,1.15199999999999996847e-01,8.26400000000000023448e-01,1.56599999999999989209e-01,1.77000000000000004552e-02,3.45700000000000007283e-01,3.58499999999999985345e-01,
